epoch,loss,mae,val_loss,val_mae
0,0.019184403121471405,0.10353429615497589,0.0030845606233924627,0.04462327063083649
1,0.006736744660884142,0.06285759806632996,0.0023170968051999807,0.03662490472197533
2,0.005770205054432154,0.05767745152115822,0.0027554372791200876,0.04330071434378624
3,0.005245302803814411,0.054817263036966324,0.0027350683230906725,0.04261796176433563
4,0.005033066961914301,0.05397620052099228,0.002455935813486576,0.039445314556360245
5,0.004461692180484533,0.05028694495558739,0.0030820483807474375,0.04591045156121254
6,0.004306682851165533,0.04981080815196037,0.0030354748014360666,0.045105475932359695
7,0.004202428739517927,0.04883251339197159,0.0026583061553537846,0.04122532159090042
8,0.0039832741022109985,0.047744568437337875,0.002727390266954899,0.041888222098350525
9,0.0037860695738345385,0.04645374044775963,0.0027910489588975906,0.042406823486089706
10,0.0036291759461164474,0.04531112313270569,0.003432756057009101,0.04899157956242561
11,0.0035064881667494774,0.044528380036354065,0.002502966905012727,0.039827797561883926
12,0.0035379412584006786,0.045088984072208405,0.003047139849513769,0.04538946971297264
13,0.003405771916732192,0.044171594083309174,0.002530875150114298,0.040455225855112076
14,0.0032757073640823364,0.04297085106372833,0.0026209105271846056,0.04109688848257065
15,0.003157435916364193,0.04209285229444504,0.00243890262208879,0.03985106945037842
16,0.003130026627331972,0.04214365407824516,0.002629411406815052,0.04123123735189438
